address,squadron,prefund,ste,STE Real,tickets
terra17snxw0q6f8r96gfrwply565vl09z4826lkkgqy,degens,5000,16919.2432,16919.2432,67
terra18dm7yqg606lfgh2r6nmgfn20gnwuwhww94hev4,degens,10000,16173.92004,16173.92004,64
terra1a0mcezl5tkjtq7vcgg7tz208utf2tqyca0ln8w,degens,6000,16000,16000,64
terra1snrx583sy446705xpy52mlzjpk25adquh9ty39,degens,2500,15488.29108,15488.29108,61
terra1h4gg9xxw9jdjkqjsy5tfvnk5cs7rq0we4q7hr8,degens,10000,15059.35019,15059.35019,60
terra19afusvflyxczjsutx5nmzg2e9gdnk0nq8955x0,degens,10000,14000,14000,56
terra1vw668vuta6t6dnjspe396kf884xpgvdh6k6jkt,degens,10000,13860.02712,13860.02712,55
terra1cthen86pmuhrrgdhexdvzhwgyyjaqsr5xws2xm,degens,9940,13218.34624,13218.34624,52
terra1ku7wxh507xhl5nqu7kzzk82lnk2gjd4qcrr2qq,degens,10000,13000,13000,52
terra14hnst75h658ng7z4twh33fjd0t83vxtqwaytcd,degens,10000,12900,12900,51
terra1qljme89gd3kle5elhhc3es7kqc0um2yxz3lrfg,degens,10000,12532.66027,12532.66027,50
terra1q9m55dcql34hmkl4jrv6xj9y4h2z69wnhnwdc7,degens,10000,12500,12500,50
terra1x42njvcfdpynsp2vef9639xspduf2eg8ts5pwk,degens,10000,11593.41492,11593.41492,46
terra1z22s6rzvx8rj8deayspjv8pjn6v4wgdalu5nw8,degens,4000,10891.57494,10891.57494,43
terra1aqdp80kwthpyrxlkcn6ef5348yvudaxau5j5f5,degens,3000,10848.92552,10848.92552,43
terra1c8dp2d7gyjah5sk5l7wk8l227dm63lpfgrsa70,degens,3000,10230.28106,10230.28106,40
terra1zc9e667lvg4k5u7muyxj58d4whdjwwqk6u3c44,degens,3000,10076.96526,10076.96526,40
terra17cj0a5wj86qyx0xsz2ach9kn384dfyal0yeqcm,degens,10000,9810.484579,9810.484579,39
terra1s98j90zy2ef5hrhq4evalts5ldyp0cscesr94f,degens,10000,9750.431529,9750.431529,39
terra19n7s6apv2fu6swjklm434uadsl63almgkgfvgx,degens,10000,9524.713699,9524.713699,38
terra1jtvpps8v22qvv3l9ymm3l48fspduudpq3833cm,degens,3500,9398.980384,9398.980384,37
terra1pvh4n0prtk3q7mgszeqh9q0w5u2yx25uql2ddm,degens,2500,8996.118833,8996.118833,35
terra1fz4r2czzlq0nhyql2wn42yn52yj38su9d0fyhx,degens,10000,8794.535862,8794.535862,35
terra1tnw7h6whkg40dq8tyvv49k3crfegzure03kfe8,degens,10000,8611.269944,8611.269944,34
terra1grqz4epwzlh27ujvflwxghsn86nj43hchykv3j,degens,10000,8610.02283,8610.02283,34
terra1370aahfrc3kg99qw5hf8us24xs944qf5gas7ds,degens,10000,8513.615158,8513.615158,34
terra1td5v7f3upvxctnr6s2lcmzz5fesuxzgajg34d8,degens,10000,8104.173629,8104.173629,32
terra15tynl4g5e34u3dktv8vl97zvzqz037340k7asr,degens,3000,8073.622612,8073.622612,32
terra152j6pyg6xkwdghj467rfclhcljfrexq397ct2x,degens,2400,7770.890045,7770.890045,31
terra1cclynq84zhc39e9plfzvj7fl4chefzg3wsetgv,degens,2500,7381.930243,7381.930243,29
terra1e67hqlgsjavvdma3shewndsdwqwauc2zsx3aax,degens,2000,7292.657301,7292.657301,29
terra16jwsvrek8d0k5shlpmhccpu635zqkzq8djxn9m,degens,6400,7133.842015,7133.842015,28
terra102vqktp9p0dm4g0pq2e3lgxr46tqcs9nj6wzwp,degens,10000,6832.232277,6832.232277,27
terra1vr6lhm2lqnyshu4mhqw9u7mp408zmwr8vpfkpt,degens,10000,6797.776197,6797.776197,27
terra1rdlp8la0ywwv609jm3eveexerlxr97xw9pe865,degens,4235,6789.733947,6789.733947,27
terra1cml5mmsdh674943psrlvsxva3qxrc4qapq8t33,degens,3800,6729.262108,6729.262108,26
terra19y0q4qje9807nlpypemucls2vxd2jtl8n5wpz5,degens,10000,6615.516753,6615.516753,26
terra195cxdzsul7nkd6l7mgxultuxe28y8vqs48p35c,degens,2000,6501.615531,6501.615531,26
terra1llywmzwv856lq9krq7efzea9llek537la0jrnz,degens,9000,6345.595485,6345.595485,25
terra133c3vjaqq3yx0zu964fxqfxdr59n2644cvfzuy,degens,8500,6247.705869,6247.705869,24
terra1psay4ugv3m3s863kqjz5qpdcnmvj35003e465s,degens,2000,6176.684257,6176.684257,24
terra1a9fptetqwywvxlddl449y2jt8xrt7vffmvnw4l,degens,10000,6128.225793,6128.225793,24
terra1xppe2mg306z20wddpwmq7xqvzgwv08v3qfxy9f,degens,10000,6102.092026,6102.092026,24
terra1m9vgzuk0kdzafkfxhyvj2usnt2xpv6nrl6s9dt,degens,6501,6100.19357,6100.19357,24
terra1e6wrfvsvkveu0erglrnukltwa0zlkcw730hk40,degens,4000,5990.62092,5990.62092,23
terra1fjquyucxhek7ut7h596mwcrhfllyr8mvurfpmx,degens,10000,5923.83755,5923.83755,23
terra1yp5y6a38tpfgqdrr3u9mx9jktrpz3mmsvylge9,degens,3000,5838.34335,5838.34335,23
terra1h59hphet9gvdarr58twppla0qcln5g26w9dkyh,degens,2000,5568.466554,5568.466554,22
terra17u9gvvrwy0uzdcmcpxc3zeu0fs4pxkp65jkr6e,degens,10000,5405.529364,5405.529364,21
terra13zf6gkq0xfwq0ep4glfvn6cfg7dkx56mw2u575,degens,2000,5277.406488,5277.406488,21
terra1akpz8efgy55c8amt6fjkh90m2zenmzmwgywcux,degens,7500,5059.925699,5059.925699,20
terra15zzcjnrs8fhmudutl6ltsk5a3e3y4m2palt5ne,degens,2500,5026.042607,5026.042607,20
terra18nflpgup79mn3hr986f3guckvnf3rs9uqgt44l,degens,10000,5000.969006,5000.969006,20
terra1nwd9x08hhs9gm6rx5pucutj7hknt9e4kkzzfz4,degens,10000,4871.301278,4871.301278,19
terra1plzug9mwq42wktjj6yt9772r25meug09du9s2c,degens,5001,4833.002144,4833.002144,19
terra1mghsnv4k45ajy5n5xxf8rdvu6fsdke0q8kwndh,degens,9000,4817.089686,4817.089686,19
terra1wyjk7lee4r4whgxqpxfeu34rzs950d7c96gwgn,degens,2000,4795.775863,4795.775863,19
terra1c42nxys3z6z6qy7tx4tezg7rednjhvegnev25r,degens,6210,4758.98184,4758.98184,19
terra1zz96n27exe5fsu2me3mgmg3qfnjvnsjpp9tj49,degens,2000,4607.360252,4607.360252,18
terra1hf67a7aj4uqvh6kjfuapy9sh9ujkqyu4rvjav3,degens,10000,4571.997102,4571.997102,18
terra1u6r30yhxg0pccqjmg2mfjnktnth9tlwfm3vj5w,degens,8000,4527.852854,4527.852854,18
terra1d5jgne000ya7mmqvjjm7rzs8ddd8n8vvpr4wrh,degens,2200,4498.393581,4498.393581,17
terra193n9vkl66vznhnteympukqvvx7xn7pjec4ajg6,degens,2000,4475.090643,4475.090643,17
terra1w99xpz2ewz29updeehp5ejdavngxn2a73tx3lz,degens,4000,4462.123668,4462.123668,17
terra1pl8tkyzcjch6yfm8lr3yuj0m6fxsy6yxpnyk99,degens,2000,4393.478698,4393.478698,17
terra13n6cxaf2e77hcxlk9y4hmjd5sjtvjujh3frt2w,degens,3000,4376.668559,4376.668559,17
terra1s423s24d3hn7avalspk3rzfqvncrfygv6gq87m,degens,4188,4333.564986,4333.564986,17
terra1kxy6lhfkj084c5nweeunvc2een9lgdptctyye8,degens,5000,4250.68394,4250.68394,17
terra1exqauxdu0acpvg4pxkr246aqq9lw2hyr0tpk50,degens,5000,4235.859875,4235.859875,16
terra1z7h3uvq8nnvuqhj6naa039kexkrkudmpndecqj,degens,10000,4230.01,4230.01,16
terra1v2qpsy620wj26avvq2ylgj5k4f4fqswh2hl9s8,degens,5000,4222.795373,4222.795373,16
terra15gd548sc0k8vfnzlpwpkh4hcujlynruf4cc82v,degens,5000,4216.04195,4216.04195,16
terra1kqyvp63sjsze8st8msutcj8hup69ytd4ct8s0u,degens,7000,4098.755463,4098.755463,16
terra1v22rfrq466daan5lskh7y0nfsagy5t9ldjv37n,degens,5000,4093.281804,4093.281804,16
terra1trztglxg7rlw5rkdg2pq73na0w0ne5e304kn97,degens,3000,4093.168483,4093.168483,16
terra1n9y03kej8jxmhnmk4n9lmtg32uppac7maflj96,degens,2001,4084.917121,4084.917121,16
terra14fmt54m27p6eep578n4tw388njvuyzmm7lv66y,degens,10000,4064.049882,4064.049882,16
terra17dac83g82gr2x8w7k2nj6hscvnzd66edtvhk7u,degens,10000,4062.130361,4062.130361,16
terra138jz60f7z59c2u90vxv0gf862trrqjqg25njjr,degens,6580,4041.113388,4041.113388,16
terra1rg3swucefj8csmrpsnktk7k3272z6ak9kpsv8m,degens,10000,4006.993629,4006.993629,16
terra1klffg5wprvh4aem463kca6p2zawhfa0t2h8u7p,degens,5000,3994.653881,3994.653881,15
terra129etxfnerdefcclwqw5kc02v8z0689hlt937ke,degens,2500,3982.334165,3982.334165,15
terra1p6lt7a5mf6r3kqzcfjyp4qqlvl330mkjmqnspu,degens,2200,3950.1478,3950.1478,15
terra1gw3zr5kds8rcstt0qqlheuhxvjvnl7p4nlwqpa,degens,10000,3912.632097,3912.632097,15
terra1gan8naj2rvg5n0w4e54835nfuv7w0xtkwnmy4d,degens,2000,3893.812823,3893.812823,15
terra1g7auv609yjppwxak9ajxcenjwtk4zaaaktwl2d,degens,2000,3883.620739,3883.620739,15
terra19dv4atrp4rshe2g55z0atxwdvlpv5zevkuq6xn,degens,2510,3879.108931,3879.108931,15
terra1582mgzfx0kyskmwn0c5ggun7h84gqtg2aqs7am,degens,2300,3867.787875,3867.787875,15
terra109kjy26hf5sfn96w3sgt9mqayyl0hfw9kypkfd,degens,2000,3859.065005,3859.065005,15
terra1zu6r9s49ffzgpgkj56wzu04yfzqkukyj5vt323,degens,2000,3852.662198,3852.662198,15
terra1m2cqt7gec8eucl7fc0cfc0qztv9gkw6kehxkrt,degens,2000,3846.035248,3846.035248,15
terra14g3y4rfp97uunqyv30fzay0ach793lrjqln9ka,degens,2000,3838.231037,3838.231037,15
terra19pg7pj8q7dhxnu7mslfqmpwz2tpd99ynm8awen,degens,4850,3803.18062,3803.18062,15
terra1r4874wwzhelka3ekvgc9cve0mhw7c5kx8a482r,degens,3000,3794.270241,3794.270241,15
terra12nnk8578uq5zle5q8t56ru9yx3lp4gl8uqupfz,degens,2000,3780.73734,3780.73734,15
terra1g886ksdjzzs5zutnngqdjhpmnl2qelnj664d9h,degens,3000,3762.011933,3762.011933,15
terra13s8rw82j4etd794m7907t5g8k8jrfz9zrmk3f5,degens,4000,3756.08634,3756.08634,15
terra1pe3j5wnkp6nk3297yxn73rgvqf50uadfkc4v6f,degens,2000,3756.012714,3756.012714,15
terra1lt2nqjl5gfsnpwdlak7pakd6zz98n3m7j5zq6d,degens,2000,3755.815572,3755.815572,15
terra1vq4wqg950ectvta96929myxy0tycy3kg7w5agf,degens,2100,3750.724014,3750.724014,15
terra1hscaf8syx3haj6ccry9t6w5gmmt5du48xdrnr8,degens,2000,3750.380803,3750.380803,15
terra1f7z5zlhzngzupwmlwrdn4535s9nz7y8wek2drw,degens,5000,3750,3750,15
terra1y3gssp67hsctlsvtut4qlu5y85qm7q3gav0jnz,degens,10000,3742.296724,3742.296724,14
terra1skt6kdk5w7qgkk690wx9xdla9ft9k6ffsdw5wq,degens,3500,3729.571437,3729.571437,14
terra16vmqv8jyux606ulgq2h8t2vyd0k8aqh5cgeple,degens,3000,3712.821308,3712.821308,14
terra1pxrsjzx0vgk8zx95ru5m6mvrwr9mzpchkfq7ug,degens,5000,3683.274812,3683.274812,14
terra1an5wehzgyaalcyju4grmu5kn9fmd3ptc35q2ql,degens,2000,3654.924033,3654.924033,14
terra136l65rtu0ckpykarvk2sh85pwdqd5tt0xveaeg,degens,4000,3653.669323,3653.669323,14
terra10my55ndyhpr7ww4r7hh4wyepdpzlxck7tj63m8,degens,8050.991001,3595.545023,3595.545023,14
terra15l2dss2w39qp7ahlm9cf88km3lspstp5236w7p,degens,2000,3594.33328,3594.33328,14
terra10lwmun98vpv9fuup2jnjvwp70a9778ra8tqjpm,degens,3000,3576.967639,3576.967639,14
terra1kfr4wznhwelzhal8gc8es67tcx4g4tsyww4njn,degens,4000,3576.713385,3576.713385,14
terra1758ar44285yukrvn4ryz22m32eezh3jtykx7t9,degens,10000,3543.561851,3543.561851,14
terra1th5vjqygc8f4095apauupvm070jahy7xfyada4,degens,12000,3541.051684,3541.051684,14
terra127yfdgj8ursvj9p7ljc9rfr8ty4y90d73hpleg,degens,2000,3536.348549,3536.348549,14
terra1ku8k6l2vt4zhple8kmhah23u27yc5zt3lzs2jn,degens,2001,3531.885237,3531.885237,14
terra1803hj37yh5ugkptpv2fml67e8q36h8sesxmzwq,degens,2000,3516.573061,3516.573061,14
terra1gdfvzyzl9erpd05mlfejd94tw76c2atekytf53,degens,10000,3510.417656,3510.417656,14
terra1huxm8h4609kz3w7te84r376crulsse2nsahu9d,degens,2000,3510.001555,3510.001555,14
terra1xf58j7j6kmu6k9w8c3np4yqjeyzwa53cyll8m3,degens,2000,3509.375444,3509.375444,14
terra1jxaq9xnympm5l4yvccdayyara65uvphu6l8tva,degens,2010,3506.090072,3506.090072,14
terra1v7jehlsl6ww78m5jgj4edjmdg08pct7qw0srnq,degens,10000,3504.64131,3504.64131,14
terra1y25h7u68dju4paz6kx7d37xpfex3zndq7fc202,degens,3000,3504.354355,3504.354355,14
terra142z50x665v8g7eth8vm42m9d2lys54fu8p0ha5,degens,9900,3502.932002,3502.932002,14
terra13sa5zhy5w2upasszcx8hepy7g47f3p0vcy756c,degens,3500.706573,3501.769299,3501.769299,14
terra1ngv362sa5aewqssdu57hdgwk3mk89c9x57y0pc,degens,9460,3501.48908,3501.48908,14
terra1h4d0vqvp0tuyt2a7qdngnv7c7yu0ejesr8c96v,degens,2500,3500.263514,3500.263514,14
terra1ngfm3dk4kl9ndmrtcc34jcmvetcrvv8j9v3egm,degens,10000,3500,3500,14
terra1ztpfxk5xksms5s8mzavu95x7lxw7kup4hjhecx,degens,3000,3489.05244,3489.05244,13
terra12xdrtw0j4uvzmcnkla8spwzm4jv53gevuexfc7,degens,2002,3489.006568,3489.006568,13
terra1a8mynmdzkdrklchepcz96navjl05vtqjmfkgjx,degens,3000,3479.844444,3479.844444,13
terra16256hqvmuneua3dpwjk5c9wnsqaphrqyysk6dt,degens,4000,3473.608004,3473.608004,13
terra19nw5utdpq90lanzxa576c87nf8qwqsqn8nk6vh,degens,4000,3451.823075,3451.823075,13
terra1s0tt2939g6kp59fs4d4mj2j9wewu9xl6suz30n,degens,5000,3451.562109,3451.562109,13
terra1p3mkmjqw4sz7am95e744vs2gqg0uq3lhpy9zkf,degens,2900,3451.162439,3451.162439,13
terra1cs5dz5ndummjrjrhra5fg5pm7eqrl2k5rcw9ef,degens,8000,3440.913072,3440.913072,13
terra14eyca4vwscdc6n4yfa966lr0z98mwvf5v4pud5,degens,2000,3428.78642,3428.78642,13
terra19scgxr54cvrlntqt8ugmj0fvv9qmmtz2d99gze,degens,2000,3423.919006,3423.919006,13
terra14tl9v2s7ju8kemvf6xvuvc0pwtruqmyx3jvf6f,degens,2000,3413.499114,3413.499114,13
terra1vfxrttefrtqnwkq6xykj7rsqq53x5xt06g4m4c,degens,2500,3375.607207,3375.607207,13
terra187rpv9wsw0dnhtacq98q9hnk28cmuqy7lgrv0y,degens,2030,3375.169205,3375.169205,13
terra1jmk7x23pqzw2z9uk30przwkxqcegr2ftjnwlzf,degens,2000,3373.856155,3373.856155,13
terra12rz7p5qtepgcgwmdlqexj67wukh3h29d266dlw,degens,2000,3364.100057,3364.100057,13
terra1r3wpe2unyhcdd7p7384mypgmwdv0vx9yy6udsg,degens,2000,3353.198288,3353.198288,13
terra1lhms70k2exkdyzzz8emkgy7pzpdjekdpndlr8e,degens,2400,3351.69579,3351.69579,13
terra1e3r0eezgjsfkk0pwlyhr4rlaz5n8yfp8qpnqgp,degens,10000,3327.032603,3327.032603,13
terra1zjydgdhd8uk4u29tq2e68j7kmqxrk3vsm6nur5,degens,10000,3326.87206,3326.87206,13
terra17vf4pzcjmlld8xfrld035zytjszzuhp7e5gs4q,degens,7842.545367,3318.021269,3318.021269,13
terra1y9pusrv2e5dateunus75d7x7kcn483l5ed82fa,degens,10000,3305.418305,3305.418305,13
terra1elkmx4mk0zwu20mcxcnv4klp5sp3sd7348gm2n,degens,2300,3304.72362,3304.72362,13
terra13tyltntu0eunf7q9wkvmxn6u20gyslvux9dqgk,degens,8000,3302.50975,3302.50975,13
terra19r0wntr7pmyj76m88w5g66hm850qczqd9z6slf,degens,3085,3290.753821,3290.753821,13
terra1sqf5jtvx54tx4fr2lstqta4qlx6va2vvpezyte,degens,2000,3288.767884,3288.767884,13
terra1sh3wnymq6tt9xla5qureu7mvzmzvunrtrr877h,degens,6380,3282.158563,3282.158563,13
terra1ggshm7mt04ns3h34mmh0ujpk8smpwfs0ntn87x,degens,2500,3279.231687,3279.231687,13
terra1u6x3f3spehtwrjl5x4lg4s7nmkhmt25u4c7mfe,degens,4638,3278.153454,3278.153454,13
terra17vx0ad0w0u7englkyjepya777nvdr6tmhjfmxe,degens,2001,3275.158633,3275.158633,13
terra1aw5zn94yr98dmg4m6rhdzrc825njnn6u0hzfgf,degens,10000,3273.911098,3273.911098,13
terra1623r8vhr2xccjalpzjwcn7gtq4upu4j23n80kd,degens,10000,3272.292665,3272.292665,13
terra120sqzlx0e4zqkyr4fmey3dk7jaxzxjzh2ewzus,degens,3000,3267.967181,3267.967181,13
terra15rhnxrks9yukcxur200j2zkj733vyuyzt6xpqu,degens,2202.05401,3267.663759,3267.663759,13
terra1c8t9een33s2rs0hqfkkp7zjw735dh5tjcm2l43,degens,2000,3264.641875,3264.641875,13
terra1p00nks9jfhytdguqpvf8nysyvced7prwc6f4h7,degens,4000,3263.238488,3263.238488,13
terra16gtq0txq2l49p8upyzjwu97fahlxdk8nfqgnvm,degens,4000,3259.039069,3259.039069,13
terra1pyjmk6va56lh0k2j3ax2jrevajhra5qp8egjpr,degens,5000,3257.8375,3257.8375,13
terra192tdr4phs7z3lztz8n5yrmu0pwqwxq6rjwmsr3,degens,2690,3254.315583,3254.315583,13
terra12eu4as0z09erkf98hj0m5p50dpkwrnqadm7ha8,degens,2600,3254.284365,3254.284365,13
terra14pmnal92nxr5w0yhd2acmew3aquk5ctv8eezj7,degens,3252,3253.857724,3253.857724,13
terra1fwlvmvphysmwc6c78frkcx7e063dlz9av565k7,degens,2001,3253.61954,3253.61954,13
terra17e85g3rsxmggnkwwsgshrxcvuh83f3lfam0me2,degens,2222,3253.474535,3253.474535,13
terra16pt0ep8jfnsu0y8aq6yw99wc3dh5s9nm3acypf,degens,2000,3252.812715,3252.812715,13
terra1zev470vlwdfup3syyu7jn2r0dxkcd8f6q94te9,degens,2120,3252.618825,3252.618825,13
terra1vmm5d6tn6fzqp8zfgplhcndwa0wj83qz0m476h,degens,2000,3252.388235,3252.388235,13
terra1pr4y9xps4hqa660sawl58n8lfnug87lskse6k4,degens,4000,3252.06595,3252.06595,13
terra1k83rxqdwpf0nnru9jx8aqrs2ncqnku73ntnn4q,degens,10000,3251.251508,3251.251508,13
terra1zt0s370039dkcvpmd5amc8z85w3rjykvaly9fq,degens,3215,3250.57104,3250.57104,13
terra10r22d9adenqstzr84dffxvhrgvvvy7slc8zymf,degens,2000,3250.006618,3250.006618,13
terra1qaju5jwaq0kmcrgv44q4zfu39c2v2e3cz2jxl2,degens,2500,3244.586756,3244.586756,12
terra1we9uyc69xzpwuxy765dg8usfuz3kykrwer5wgm,degens,2500,3242.445344,3242.445344,12
terra1cts0ly6y9ffjkua7kv4hf073xd8j6kjaracycg,degens,5000,3242.039403,3242.039403,12
terra1l47szva968sxvtpl9w24tk6nkqa77d59pkclsv,degens,2010,3235.552349,3235.552349,12
terra1s22gkwl6vp2jj6272vmdky0wfrxldp9acphntp,degens,2000,3230.866765,3230.866765,12
terra133m64qdjq2rr0zw22ccq8w7gz5f2azad6qm882,degens,2250,3227.594251,3227.594251,12
terra1kwawc69v6th5aucmj3g4r5njhkk6mgyrn8un9g,degens,2000,3224.175576,3224.175576,12
terra1rts5y83faw3tyh9kr8uyzyptajntljdja0dqn6,degens,3000,3209.884023,3209.884023,12
terra1zhr9jv2swdlm9hmusklzz48amk7xy46klaj55z,degens,4400,3207.88343,3207.88343,12
terra1ze7p82c2das629ype5f3xcrmtg7p5jtp6hpdrq,degens,2200,3201.312516,3201.312516,12
terra1tlfv690n6nae6h9tpdzq0e28vm5uvyz59p92ug,degens,2000,3198.395668,3198.395668,12
terra1kcpvnfhx0mg77kz4j0dp7h7l9ytynp29rkrxqy,degens,2000,3185.832788,3185.832788,12
terra1um5f8g2h2unm9v9pcqhgs7m8t892jv509htxph,degens,5000,3185.754257,3185.754257,12
terra13q6sa34lqjqrv9txf4f6gzywtsw358syqxw8wn,degens,2500,3183.042183,3183.042183,12
terra1ynl3mxfk5fnzlm6efndg4hjkrlpgrwsmx6huxu,degens,2000,3179.543091,3179.543091,12
terra13xw8zzmxlsfm4vxk5kn8dzh0jy4n4y7uc9c8c6,degens,2000,3175.474989,3175.474989,12
